pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com b,Radial Velocity,0,1,326.03000000,1.290000,0.231000,,19.40000,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.740,V (Johnson),4.372,4742.00,2.70,19.00,2014-05-14,Xinglong Station
11 UMi b,Radial Velocity,0,1,516.21997000,1.530000,0.080000,,14.74000,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.500,4213.00,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg
14 And b,Radial Velocity,0,1,185.84000000,0.830000,0.000000,,4.80000,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813.00,2.20,11.00,2014-05-14,Okayama Astrophysical Observatory
14 Her b,Radial Velocity,0,1,1773.40002000,2.930000,0.370000,,4.66000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.610,V (Johnson),6.379,5338.00,0.90,0.93,2018-09-06,W. M. Keck Observatory
16 Cyg B b,Radial Velocity,0,1,798.50000000,1.660000,0.680000,,1.78000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.250,V (Johnson),6.057,5750.00,1.08,1.13,2018-09-06,Multiple Observatories
18 Del b,Radial Velocity,0,1,993.30000000,2.600000,0.080000,,10.30000,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979.00,2.30,8.50,2014-05-14,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,Imaging,0,1,,330.000000,,,8.00000,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,139.67,,,12.057,4060.00,0.85,,2015-04-01,Gemini Observatory
24 Boo b,Radial Velocity,0,1,30.35060000,0.190000,0.042000,,0.91000,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.580,V (Johnson),5.305,4893.00,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory
24 Sex b,Radial Velocity,0,2,452.80000000,1.333000,0.090000,,1.99000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,Lick Observatory
24 Sex c,Radial Velocity,0,2,883.00000000,2.080000,0.290000,,0.86000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,Lick Observatory
2MASS J01033563-5515561 AB b,Imaging,0,1,,84.000000,,,13.00000,Mass,,,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.20,,,,,,0.19,,2020-09-03,Paranal Observatory
2MASS J01225093-2439505 b,Imaging,0,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,33.86,14.240,V (Johnson),12.903,3530.00,0.40,,2014-05-14,W. M. Keck Observatory
2MASS J02192210-3925225 b,Imaging,0,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,40.09,,,15.012,3064.00,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,Imaging,0,1,,15.000000,,,7.50000,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,120.42,,,18.967,,0.02,,2014-05-14,Hubble Space Telescope
2MASS J12073346-3932539 b,Imaging,0,1,,46.000000,,,4.00000,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,64.42,20.150,V (Johnson),17.408,,0.02,,2014-05-14,Paranal Observatory
2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416.00000000,0.920000,,,1.90000,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,400.77,12.264,Kepler-band,12.138,,0.48,,2015-06-04,Kepler
2MASS J21402931+1625183 A b,Imaging,0,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,33.12,,,17.396,2300.00,0.08,0.12,2014-05-14,W. M. Keck Observatory
2MASS J22362452+4751425 b,Imaging,0,1,,230.000000,,,12.50000,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,69.71,12.510,V (Johnson),11.948,4045.00,0.60,,2016-11-10,W. M. Keck Observatory
30 Ari B b,Radial Velocity,0,1,335.10001000,0.990000,0.290000,,13.82000,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,44.71,6.962,V (Johnson),6.961,6331.00,1.93,1.41,2018-09-06,Thueringer Landessternwarte Tautenburg
4 UMa b,Radial Velocity,0,1,269.30000000,0.870000,0.432000,,7.10000,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,73.58,4.610,V (Johnson),4.160,4415.00,1.23,18.11,2014-05-14,Thueringer Landessternwarte Tautenburg
42 Dra b,Radial Velocity,0,1,479.10000000,1.190000,0.380000,,3.88000,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,90.86,4.820,V (Johnson),4.364,4200.00,0.98,22.03,2014-05-14,Thueringer Landessternwarte Tautenburg
47 UMa b,Radial Velocity,0,3,1078.00000000,2.100000,0.032000,,2.53000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
47 UMa c,Radial Velocity,0,3,2391.00000000,3.600000,0.098000,,0.54000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
47 UMa d,Radial Velocity,0,3,14002.00000000,11.600000,0.160000,,1.64000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
51 Eri b,Imaging,0,1,11688.00000000,12.000000,0.450000,133.000,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,29.78,5.230,V (Johnson),5.122,,1.75,,2019-07-11,Gemini Observatory
51 Peg b,Radial Velocity,0,1,4.23078500,0.052700,0.013000,,0.47200,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,15.47,5.500,V (Johnson),5.256,5793.00,1.12,1.20,2014-05-14,Haute-Provence Observatory
55 Cnc b,Radial Velocity,0,5,14.65152000,0.115227,0.003400,90.000,0.83060,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Lick Observatory
55 Cnc c,Radial Velocity,0,5,44.41750000,0.241376,0.020000,90.000,0.17140,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,McDonald Observatory
55 Cnc d,Radial Velocity,0,5,4825.00000000,5.503000,0.019000,90.000,3.87800,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Lick Observatory
55 Cnc e,Radial Velocity,0,5,0.73653900,0.015440,,83.300,0.02542,Mass,0.170,6.40000,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2019-01-31,McDonald Observatory
55 Cnc f,Radial Velocity,0,5,262.00000000,0.788000,0.305000,90.000,0.14100,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Multiple Observatories
6 Lyn b,Radial Velocity,0,1,934.30000000,2.110000,0.073000,,2.01000,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,54.74,5.860,V (Johnson),5.588,4938.00,1.44,5.20,2018-12-06,Okayama Astrophysical Observatory
61 Vir b,Radial Velocity,0,3,4.21500000,0.050201,0.120000,,0.01600,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
61 Vir c,Radial Velocity,0,3,38.02100000,0.217500,0.140000,,0.05700,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
61 Vir d,Radial Velocity,0,3,123.01000000,0.476000,0.350000,,0.07200,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
7 CMa b,Radial Velocity,0,2,735.10000000,1.758000,0.060000,90.000,1.85000,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,19.82,3.920,V (Johnson),3.578,4826.00,1.34,4.87,2019-10-24,Anglo-Australian Telescope
7 CMa c,Radial Velocity,0,2,996.00000000,2.153000,0.080000,90.000,0.87000,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,19.82,3.920,V (Johnson),3.578,4826.00,1.34,4.87,2019-10-24,Multiple Observatories
70 Vir b,Radial Velocity,0,1,116.68800000,0.481000,0.398800,,7.41600,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,17.91,4.970,V (Johnson),4.709,5495.00,1.09,1.89,2018-12-06,Lick Observatory
75 Cet b,Radial Velocity,0,1,691.90000000,2.100000,0.117000,,3.00000,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,83.15,5.350,V (Johnson),5.055,4846.00,2.49,10.50,2015-09-03,Okayama Astrophysical Observatory
8 UMi b,Radial Velocity,0,1,93.40000000,0.490000,0.060000,,1.31000,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,163.32,6.830,V (Johnson),6.559,4847.00,1.44,10.30,2018-09-06,Bohyunsan Optical Astronomical Observatory
81 Cet b,Radial Velocity,0,1,952.70000000,2.500000,0.206000,,5.30000,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,101.53,5.650,V (Johnson),5.349,4785.00,2.40,11.00,2014-05-14,Okayama Astrophysical Observatory
91 Aqr b,Radial Velocity,0,1,181.40000000,0.700000,0.027000,,3.20000,Msini,,,0,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,44.08,4.250,V (Johnson),3.863,4665.00,1.40,11.00,2014-05-14,Lick Observatory
AB Pic b,Imaging,0,1,,260.000000,,,13.50000,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,50.12,9.128,V (Johnson),8.838,,,,2014-05-14,Paranal Observatory
AU Mic b,Transit,0,1,8.46321000,0.066000,0.100000,,0.18000,Msini,0.375,4.40000,0,0,0,0,20h45m09.53s,311.289703,-31d20m27.2s,-31.340899,9.79,9.72,8.810,V (Johnson),7.840,3700.00,0.50,0.75,2020-06-24,Transiting Exoplanet Survey Satellite (TESS)
BD+03 2562 b,Radial Velocity,0,1,481.90000000,1.300000,0.200000,,6.40000,Msini,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,1106.93,9.580,V (Johnson),8.998,4095.00,1.14,32.35,2017-06-15,Multiple Observatories
BD+14 4559 b,Radial Velocity,0,1,268.94000000,0.780000,0.290000,,1.04000,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,49.42,9.630,V (Johnson),9.351,4864.00,0.49,0.86,2018-09-06,McDonald Observatory
BD+15 2375 b,Radial Velocity,0,1,153.22000000,0.576000,0.001000,,1.06100,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,785.38,10.310,V (Johnson),9.992,4649.00,1.08,8.95,2016-02-04,Roque de los Muchachos Observatory
BD+15 2940 b,Radial Velocity,0,1,137.48000000,0.539000,0.260000,,1.11000,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,431.61,9.046,V (Johnson),8.718,4796.00,1.10,14.70,2014-05-14,McDonald Observatory
BD+20 2457 b,Radial Velocity,0,2,379.63000000,1.050000,0.150000,,55.59000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,1670.85,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2018-09-06,McDonald Observatory
BD+20 2457 c,Radial Velocity,0,2,621.99000000,2.010000,0.180000,,12.47000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,1670.85,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2014-05-14,McDonald Observatory
BD+20 274 b,Radial Velocity,0,1,578.20000000,1.300000,0.210000,,4.20000,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,1383.85,9.360,V (Johnson),8.916,4296.00,0.80,17.30,2015-09-18,McDonald Observatory
BD+20 594 b,Transit,0,1,41.68550000,,0.000000,89.550,0.07000,Mass,0.230,,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,180.39,11.038,V (Johnson),10.864,5766.00,1.67,1.08,2018-04-26,K2
BD+48 738 b,Radial Velocity,0,1,392.60000000,1.000000,0.200000,,0.91000,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,892.17,9.140,V (Johnson),8.656,4414.00,0.74,11.00,2015-08-13,McDonald Observatory
BD+48 740 b,Radial Velocity,0,1,733.00000000,1.700000,0.760000,,1.70000,Msini,,,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,678.94,8.699,V (Johnson),8.264,4534.00,1.09,10.33,2018-02-01,Multiple Observatories
BD+49 828 b,Radial Velocity,0,1,2590.00000000,4.200000,0.350000,,1.60000,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,447.59,9.380,V (Johnson),9.029,4943.00,1.52,7.60,2015-02-05,McDonald Observatory
BD-06 1339 b,Radial Velocity,0,2,3.87280000,0.042800,0.000000,,0.02700,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,La Silla Observatory
BD-06 1339 c,Radial Velocity,0,2,125.94000000,0.435000,0.310000,,0.17000,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,La Silla Observatory
BD-08 2823 b,Radial Velocity,0,2,5.60000000,0.060000,0.150000,,0.04000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2018-09-06,La Silla Observatory
BD-08 2823 c,Radial Velocity,0,2,237.60000000,0.680000,0.190000,,0.33000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2014-05-14,La Silla Observatory
BD-10 3166 b,Radial Velocity,0,1,3.48777000,0.040000,0.020000,,0.59000,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,84.61,10.080,V (Johnson),9.840,5393.00,1.47,0.91,2018-09-06,W. M. Keck Observatory
BD-11 4672 b,Radial Velocity,0,2,1634.00000000,2.360000,0.050000,,0.65000,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,27.19,9.990,V (Johnson),9.485,4550.00,0.65,0.64,2020-07-23,La Silla Observatory
BD-11 4672 c,Radial Velocity,0,2,74.20000000,0.300000,0.400000,,0.04836,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,27.19,9.990,V (Johnson),9.485,4550.00,0.65,0.64,2020-07-23,Roque de los Muchachos Observatory
BD-13 2130 b,Radial Velocity,0,1,714.29999000,1.660000,0.210000,,9.78000,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,948.75,948.75,9.450,V (Johnson),9.700,4545.00,2.12,19.17,2018-09-06,La Silla Observatory
BD-17 63 b,Radial Velocity,0,1,655.60000000,1.340000,0.540000,,5.10000,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,34.49,9.566,V (Johnson),9.201,4714.00,0.74,0.69,2014-05-14,La Silla Observatory
CFBDSIR J145829+101343 b,Imaging,0,1,10037.50000000,2.600000,,,10.50000,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,,,,580.50,0.02,,2014-05-14,W. M. Keck Observatory
CHXR 73 b,Imaging,0,1,,210.000000,,,12.56900,Mass,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,191.05,,,17.293,,0.35,,2014-05-14,Hubble Space Telescope
CI Tau b,Radial Velocity,0,1,8.98910000,,0.250000,50.500,11.60000,Mass,,,0,0,0,0,04h33m52.01s,68.466728,+22d50m30.1s,22.841696,158.00,158.71,12.939,V (Johnson),12.145,,0.90,,2019-06-27,Multiple Observatories
CT Cha b,Imaging,0,1,,440.000000,,,17.00000,Mass,2.200,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,191.78,,,11.773,,,,2014-05-14,Paranal Observatory
CoRoT-1 b,Transit,0,1,1.50895570,,0.000000,85.100,1.03000,Mass,1.490,0.38000,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,805.31,13.600,V (Johnson),13.457,5950.00,0.95,1.11,2014-05-14,CoRoT
CoRoT-10 b,Transit,0,1,13.24060000,0.105500,0.530000,88.550,2.75000,Mass,0.970,3.70000,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,341.65,15.220,V (Johnson),14.665,5075.00,0.89,0.79,2014-05-14,CoRoT
CoRoT-11 b,Transit,0,1,2.99433000,0.043600,0.000000,83.170,2.33000,Mass,1.430,0.99000,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,666.35,12.939,V (Johnson),12.841,6440.00,1.27,1.37,2014-05-14,CoRoT
CoRoT-12 b,Transit,0,1,2.82804200,0.040160,0.070000,85.480,0.91700,Mass,1.440,0.41100,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.00,1161.12,15.515,V (Johnson),15.345,5675.00,1.08,1.12,2014-05-14,CoRoT
CoRoT-13 b,Transit,0,1,4.03519000,0.051000,0.000000,88.020,1.30800,Mass,0.885,2.34000,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060.00,1184.91,15.039,V (Johnson),14.915,5945.00,1.09,1.01,2014-05-14,CoRoT
CoRoT-14 b,Transit,0,1,1.51214000,0.027000,0.000000,79.600,7.60000,Mass,1.090,7.30000,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,1826.96,16.033,V (Johnson),15.812,6035.00,1.13,1.21,2014-05-14,CoRoT
CoRoT-16 b,Transit,0,1,5.35227000,0.061800,0.330000,85.010,0.53500,Mass,1.170,0.44000,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,745.96,15.630,V (Johnson),15.651,5650.00,1.10,1.19,2014-05-14,CoRoT
CoRoT-17 b,Transit,0,1,3.76810000,0.046100,0.000000,88.340,2.43000,Mass,1.020,2.82000,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,1214.51,15.460,V (Johnson),15.437,5740.00,1.04,1.59,2014-05-14,CoRoT
CoRoT-18 b,Transit,0,1,1.90006930,0.029500,0.080000,86.500,3.47000,Mass,1.310,2.20000,0,0,0,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,780.87,15.000,V (Johnson),14.801,5440.00,0.95,1.00,2014-05-14,CoRoT
CoRoT-19 b,Transit,0,1,3.89713000,0.051800,0.047000,88.000,1.11000,Mass,1.290,0.71000,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,807.99,14.007,V (Johnson),13.783,6090.00,1.21,1.65,2014-05-14,CoRoT
CoRoT-2 b,Transit,0,1,1.74299350,0.027980,0.014300,88.080,3.47000,Mass,1.466,1.47000,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,214.56,12.570,V (Johnson),12.249,5625.00,0.96,0.91,2014-05-14,CoRoT
CoRoT-20 b,Transit,0,2,9.24285000,0.090000,0.590000,88.210,4.30000,Mass,,,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,864.31,14.660,V (Johnson),14.469,,1.14,,2018-07-19,CoRoT
CoRoT-20 c,Radial Velocity,0,2,1675.00000000,2.900000,0.600000,,17.00000,Msini,,,0,0,0,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,864.31,14.660,V (Johnson),14.469,,1.14,,2018-07-19,Multiple Observatories
CoRoT-21 b,Transit,0,1,2.72474000,0.041700,0.000000,86.800,2.26000,Mass,1.300,1.36000,0,0,0,0,06h44m12.588s,101.052450,-00d17m56.868s,-0.299130,1398.83,1398.83,16.000,V (Johnson),15.856,6200.00,1.29,1.95,2018-12-06,CoRoT
CoRoT-22 b,Transit,0,1,9.75598000,0.092000,0.077000,89.749,0.03800,Mass,0.435,0.24900,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,638.47,13.944,V (Johnson),13.730,5939.00,1.10,1.14,2014-08-21,CoRoT
CoRoT-23 b,Transit,0,1,3.63130000,0.048000,0.160000,85.700,2.80000,Mass,1.050,3.00000,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,1092.40,15.630,V (Johnson),15.068,5900.00,1.14,1.61,2014-05-14,CoRoT
CoRoT-24 b,Transit,0,2,5.11340000,0.056000,0.000000,86.500,0.01800,Mass,0.330,0.90000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,601.22,,,15.180,4950.00,0.91,0.86,2018-05-31,CoRoT
CoRoT-24 c,Transit,0,2,11.75900000,0.098000,0.000000,89.000,0.08800,Mass,0.440,1.30000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,601.22,,,15.180,4950.00,0.91,0.86,2014-06-11,CoRoT
CoRoT-25 b,Transit,0,1,4.86069000,0.057800,0.000000,84.500,0.27000,Mass,1.080,0.15000,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,1137.85,,,14.711,6040.00,1.09,1.19,2014-05-14,CoRoT
CoRoT-26 b,Transit,0,1,4.20474000,0.052600,0.000000,86.800,0.52000,Mass,1.260,0.28000,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,,,,15.468,5590.00,1.09,1.79,2014-05-14,CoRoT
CoRoT-27 b,Transit,0,1,3.57532000,0.047600,0.065000,86.700,10.39000,Mass,1.007,12.60000,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,1035.15,15.540,V (Johnson),15.390,5900.00,1.05,1.08,2014-05-14,CoRoT
CoRoT-28 b,Transit,0,1,5.20851000,0.060300,0.047000,88.100,0.48400,Mass,0.955,0.69000,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,560.00,783.18,,,13.412,5150.00,1.01,1.78,2015-04-16,CoRoT
CoRoT-29 b,Transit,0,1,2.85057000,0.038600,0.082000,87.300,0.85000,Mass,0.900,1.45000,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.00,822.62,,,15.239,5260.00,0.97,0.90,2015-04-16,CoRoT
CoRoT-3 b,Transit,0,1,4.25680000,,0.000000,85.900,21.66000,Mass,1.010,26.40000,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,680.00,784.49,13.292,V (Johnson),13.219,6740.00,1.37,1.56,2014-05-14,CoRoT
CoRoT-30 b,Transit,0,1,9.06005000,0.084400,0.007000,90.000,2.90000,Mass,1.009,3.45000,0,0,0,0,18h30m24.264s,277.601100,+06d50m09.424s,6.835951,960.00,1061.07,15.650,V (Johnson),15.413,5650.00,0.98,0.91,2020-04-16,CoRoT
CoRoT-31 b,Transit,0,1,4.62941000,0.058600,0.020000,83.200,0.84000,Mass,1.460,0.33000,0,0,0,0,06h19m16.975s,94.820729,-04d25m20.194s,-4.422276,2190.00,2127.54,,,15.465,5700.00,1.25,2.15,2020-04-16,CoRoT
CoRoT-4 b,Transit,0,1,9.20205000,0.090000,0.000000,90.000,0.72000,Mass,1.190,0.52500,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.60,741.60,,,13.561,6190.00,1.16,1.17,2014-05-14,CoRoT
CoRoT-5 b,Transit,0,1,4.03789620,0.049470,0.090000,85.830,0.46700,Mass,1.388,0.21700,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,904.65,,,13.902,6100.00,1.00,1.19,2014-05-14,CoRoT
CoRoT-6 b,Transit,0,1,8.88659300,0.085500,0.100000,89.070,2.96000,Mass,1.166,2.32000,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,657.24,13.912,V (Johnson),13.746,6090.00,1.05,1.02,2014-05-14,CoRoT
CoRoT-7 b,Transit,0,2,0.85359163,,0.000000,80.100,0.01000,Mass,0.150,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,160.64,11.668,V (Johnson),11.524,5275.00,0.82,0.83,2018-12-06,CoRoT
CoRoT-7 c,Radial Velocity,0,2,3.69800000,0.046000,0.000000,80.000,0.02643,Mass,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,160.64,11.668,V (Johnson),11.524,5275.00,0.82,0.83,2015-09-10,CoRoT
CoRoT-8 b,Transit,0,1,6.21229000,0.063000,0.000000,88.400,0.22000,Mass,0.570,1.60000,0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.00,325.03,14.800,V (Johnson),14.220,5080.00,0.88,0.77,2014-05-14,CoRoT
