pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-643 b,Transit,0,1,16.33889626,,,,,,0.906,,0,1,0,1,19h21m18.56s,290.327325,+42d53m53.8s,42.898281,1029.00,1097.15,13.781,Kepler-band,13.769,4908.00,1.00,2.52,2016-05-10,Kepler
Kepler-644 b,Transit,0,1,3.17391710,,,,,,0.281,,0,1,0,1,19h41m54.18s,295.475743,+43d29m35.3s,43.493137,1413.00,1369.17,13.949,Kepler-band,13.960,6747.00,1.49,1.81,2016-05-10,Kepler
Kepler-645 b,Transit,0,1,3.27582262,,,,,,0.187,,0,1,0,1,19h21m17.46s,290.322766,+44d02m08.9s,44.035809,901.00,1214.61,13.992,Kepler-band,14.031,6170.00,1.13,1.21,2016-05-10,Kepler
Kepler-646 b,Transit,0,1,15.87364565,,,,,,0.178,,0,1,0,1,19h21m53.12s,290.471339,+44d23m13.5s,44.387085,513.00,457.76,13.766,Kepler-band,13.765,5634.00,0.93,0.91,2016-05-10,Kepler
Kepler-647 b,Transit,0,2,16.22546490,,,,,,0.104,,0,1,0,1,18h59m09.19s,284.788295,+44d35m30.0s,44.591675,789.00,1123.04,13.965,Kepler-band,13.935,6020.00,1.03,1.07,2016-05-10,Kepler
Kepler-647 c,Transit,0,2,29.66630000,,,,,,0.357,,0,1,0,0,18h59m09.19s,284.788295,+44d35m30.0s,44.591675,789.00,1123.04,13.965,Kepler-band,13.935,6020.00,1.03,1.07,2020-09-03,Kepler
Kepler-648 b,Transit,0,1,17.42117490,,,,,,0.287,,0,1,0,1,18h55m35.92s,283.899655,+45d01m00.8s,45.016888,665.00,647.86,13.939,Kepler-band,13.915,5741.00,1.05,0.98,2016-05-10,Kepler
Kepler-649 b,Transit,0,1,29.90722674,,,,,,0.202,,0,1,0,1,19h02m37.42s,285.655936,+45d04m46.4s,45.079556,525.00,521.46,13.437,Kepler-band,13.394,5871.00,0.97,0.94,2016-05-10,Kepler
Kepler-65 b,Transit,0,4,2.15491000,0.035000,,,,,0.127,,0,1,0,1,19h14m45.29s,288.688700,+41d09m04.2s,41.151173,306.39,306.39,11.018,Kepler-band,10.966,6211.00,1.25,1.41,2014-05-14,Kepler
Kepler-65 c,Transit,0,4,5.85994400,0.068000,,,,,0.230,,1,1,0,1,19h14m45.29s,288.688700,+41d09m04.2s,41.151173,306.39,306.39,11.018,Kepler-band,10.966,6211.00,1.25,1.41,2014-05-14,Kepler
Kepler-65 d,Transit,0,4,8.13123000,0.084000,,,,,0.136,,1,1,0,1,19h14m45.29s,288.688700,+41d09m04.2s,41.151173,306.39,306.39,11.018,Kepler-band,10.966,6211.00,1.25,1.41,2014-05-14,Kepler
Kepler-65 e,Radial Velocity,0,4,258.80000000,,0.283000,127.000,0.82000,Mass,,,0,1,0,0,19h14m45.29s,288.688700,+41d09m04.2s,41.151173,306.39,306.39,11.018,Kepler-band,10.966,6211.00,1.25,1.41,2019-06-13,W. M. Keck Observatory
Kepler-650 b,Transit,0,1,3.03214559,,,,,,0.264,,0,1,0,1,19h16m00.21s,289.000875,+45d09m15.4s,45.154270,805.00,2214.97,13.684,Kepler-band,14.124,5849.00,1.08,1.35,2016-05-10,Kepler
Kepler-651 b,Transit,0,1,21.38521506,,,,,,0.211,,0,1,0,1,19h09m19.87s,287.332790,+46d12m12.6s,46.203500,537.00,517.01,13.940,Kepler-band,13.962,5522.00,0.92,0.87,2016-05-10,Kepler
Kepler-652 b,Transit,0,1,4.18200253,,,,,,0.222,,0,1,0,1,19h12m01.95s,288.008110,+46d28m24.8s,46.473557,423.00,399.10,13.393,Kepler-band,13.435,5490.00,0.97,0.88,2016-05-10,Kepler
Kepler-653 b,Transit,0,2,14.70748976,,,,,,0.174,,0,1,0,1,18h48m51.10s,282.212930,+46d43m04.1s,46.717819,593.00,606.06,13.387,Kepler-band,13.346,5665.00,1.02,1.19,2016-05-10,Kepler
Kepler-653 c,Transit,0,2,0.90037648,,,,,,0.070,,0,1,0,1,18h48m51.10s,282.212930,+46d43m04.1s,46.717819,593.00,606.06,13.387,Kepler-band,13.346,5665.00,1.02,1.19,2016-05-10,Kepler
Kepler-654 b,Transit,0,1,13.72465129,,,,,,0.185,,0,1,0,1,19h48m16.42s,297.068412,+46d50m03.4s,46.834278,661.00,1002.11,13.645,Kepler-band,13.661,5865.00,1.04,1.11,2016-05-10,Kepler
Kepler-655 b,Transit,0,1,46.40633580,,,,,,0.242,,0,1,0,1,19h49m02.18s,297.259092,+46d50m35.5s,46.843193,783.00,769.19,13.489,Kepler-band,13.464,6170.00,1.15,1.24,2016-05-10,Kepler
Kepler-656 b,Transit,0,1,1.26025909,,,,,,0.278,,0,1,0,1,19h13m18.70s,288.327899,+47d22m53.7s,47.381592,867.00,913.48,15.342,Kepler-band,15.337,5281.00,0.86,0.82,2016-05-10,Kepler
Kepler-657 b,Transit,0,1,24.54350418,,,,,,0.314,,0,1,0,1,19h24m47.35s,291.197299,+47d18m28.1s,47.307800,1244.00,1778.77,15.344,Kepler-band,15.319,5808.00,1.01,1.01,2016-05-10,Kepler
Kepler-658 b,Transit,0,1,1.28707676,,,,,,0.145,,0,1,0,1,18h51m56.11s,282.983790,+47d34m42.9s,47.578590,341.00,392.71,15.488,Kepler-band,15.491,4103.00,0.63,0.60,2016-05-10,Kepler
